R060: C32:-24 | C33:33.94112549695428 | C34:-30 | C35:30
R061: C32:-21 | C33:35.45419580247167 | C34:20 | C35:0
R062: C32:-18 | C33:36.71511950137164 | C34:22.909690775302153 | C35:-3.33
R063: C32:-15 | C33:37.74917217635375 | C34:25.11655895315498 | C35:-6.66
R064: C32:-12 | C33:38.57460304397182 | C34:26.77787319413943 | C35:-9.99
R065: C32:-9 | C33:39.20459156782532 | C34:28.005009805946738 | C35:-13.32
R066: C32:-6 | C33:39.64845520319802 | C34:28.87986641101198 | C35:-16.65
R067: C32:-3 | C33:39.91240408695021 | C34:29.465278307750914 | C35:-19.979999999999997
R068: C32:0 | C33:40 | C34:29.812686630866374 | C35:-23.309999999999995
R069: C32:LIMITE 1 | C34:29.970234318986716 | C35:-26.639999999999993
R070: C32:0 | C33:20 | C34:30 | C35:-30
R071: C32:20 | C33:0 | C34:-20 | C35:0
R072: C32:0 | C33:-20 | C34:-22.909690775302153 | C35:-3.33
R073: C32:-20 | C33:0 | C34:-25.11655895315498 | C35:-6.66
R074: C32:0 | C33:20 | C34:-26.77787319413943 | C35:-9.99
R075: C32:LIMITE SAPATA | C34:-28.005009805946738 | C35:-13.32
R076: C32:60 | C33:60 | C34:-28.87986641101198 | C35:-16.65
R077: C32:-60 | C33:60 | C34:-29.465278307750914 | C35:-19.979999999999997
R078: C32:-60 | C33:-60 | C34:-29.812686630866374 | C35:-23.309999999999995
R079: C32:60 | C33:-60 | C34:-29.970234318986716 | C35:-26.639999999999993
R080: C32:60 | C33:60 | C34:-30 | C35:-30
